doc_code	item_id	title	snippet	text_url	enhanced_url
hojin_aramashi_2025	s019	別表七(一) 欠損金の損金算入等に関する明細書	[page 1] 別表七(一) 記載要領 ｢欠損金の損金算入等に関する明細書」 はこちら 【チェックポイント】 50又は100 「控除未済欠損金額3」欄の金 中小企業者の 「損金算入限度額⑴× 2」 100 額について、前期の申告書の別 …	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s019.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s019.html
hojin_aramashi_2025	s020	別表八(一) 受取配当等の益金不算入に関する明細書	[page 1] 別表八(一) 記載要領 ｢受取配当等の益金不算入に関する明細書」 はこちら 「完全子法人株式等」の各欄 「受取配当等の額9」、「受取配当等の額14」、「受取配当等の額24」及び「受取配当等の額31」 完全子法人株式等に係…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s020.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s020.html
hojin_aramashi_2025	s021	別表十一(一) 個別評価金銭債権に係る貸倒引当金の損金算入に関する明細書	[page 1] 別表十一(一) 記載要領 ｢個別評価金銭債権に係る貸倒引当金の損金算入に関する明細書」 はこちら 法第52条第1項第3号｟貸倒引当金｠に掲げる法人(同条第5項の規定を適用する場合にあっては、適格分割等の直前の時を事業年度…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s021.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s021.html
hojin_aramashi_2025	s022	別表十一(一の二) 一括評価金銭債権に係る貸倒引当金の損金算入に関する明細書	[page 1] 別表十一(一の二) 記載要領 ｢一括評価金銭債権に係る貸倒引当金の損金算入に関する明細書」 はこちら 法第52条第1項第3号｟貸倒引当金｠に掲げる法人(同条第6項の規定を適用する場合にあっては、適格分割等の直前の時を事業…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s022.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s022.html
hojin_aramashi_2025	s023	別表十四(二) 寄附金の損金算入に関する明細書	[page 1] 別表十四(二) 記載要領 ｢寄附金の損金算入に関する明細書」 はこちら この別表は、指定寄附金等、公益の増進に著しく寄与する法人(以下この別表の留意点において「特定公益増進法人」といいます。)若しくは認定特定非営利活動法…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s023.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s023.html
hojin_aramashi_2025	s024	別表十五 交際費等の損金算入に関する明細書	[page 1] 別表十五 記載要領 ｢交際費等の損金算入に関する明細書」 はこちら 措置法第61条の4第1項｟交際費等の損金不算入｠に規定する接待飲食費とは、交際費等のうち飲食その他これに類する行為のために要する費用(専らその法人 中小…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s024.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s024.html
hojin_aramashi_2025	s025-part-01	別表十六(一) 旧定額法又は定額法による減価償却資産の償却額の計算に関する明細書 (part 1/2)	[page 1] 別表十六(一) 記載要領 ｢旧定額法又は定額法による減価償却資産の償却額の計算に関する明細書」 はこちら 取得等をした減価償却資産で取得価額が30万円未満であるものについて、措置法第67条の5｟中小企業者等の少額減価償却…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s025-part-01.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s025-part-01.html
hojin_aramashi_2025	s025-part-02	別表十六(一) 旧定額法又は定額法による減価償却資産の償却額の計算に関する明細書 (part 2/2)	青色申告法人又は措置法第43条の2｟被災代替資産等の特別償却｠若しくは震災特例法 「33」の内書の金額がある場合には、その による特別償却に係る特別償却不足額を有する法人に限り、記載します。 金額を「33」から控除して計算します。 「当期…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s025-part-02.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s025-part-02.html
hojin_aramashi_2025	s026	別表十六(二) 旧定率法又は定率法による減価償却資産の償却額の計算に関する明細書	[page 1] 別表十六(二) 記載要領 ｢旧定率法又は定率法による減価償却資産の償却額の計算に関する明細書」 はこちら 取得等をした減価償却資産で取得価額が30万円未満であるものについて、措置法第67条の5｟中小企業者等の少額減価償却…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s026.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s026.html
hojin_aramashi_2025	s027	別表十六(六) 繰延資産の償却額の計算に関する明細書	[page 1] 別表十六(六) 記載要領 ｢繰延資産の償却額の計算に関する明細書」 はこちら この別表は、繰延資産の種類の区分ごとに、かつ、償却 期間の異なるごとに別行に記載します。また、種類及び償 却期間が同じであっても、当期に支出し…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/hojin_aramashi_2025/s027.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/hojin_aramashi_2025/s027.html
